Carcass Drop,Habitat,Flood,Season,time_laid,Deploy_Number,discovery_time
1SD,Closed,Before Flood,Winter,10:14:00,1,4344
1SD,Open,Before Flood,Winter,10:35:00,2,1311
1SD,Closed,Before Flood,Winter,11:06:00,3,5614
1SD,Open,Before Flood,Winter,11:38:00,4,70
1SD,Closed,Before Flood,Winter,12:08:00,5,1154
1SD,Open,Before Flood,Winter,12:33:00,6,7035
1SD,Closed,Before Flood,Winter,13:05:00,7,1344
1SD,Closed,Before Flood,Winter,13:34:00,8,1277
1SD,Open,Before Flood,Winter,13:53:00,9,1061
1SD,Open,Before Flood,Winter,14:51:00,10,2695
1SD,Closed,Before Flood,Winter,8:20:00,11,43
1SD,Closed,Before Flood,Winter,8:54:00,12,1381
1SD,Open,Before Flood,Winter,9:24:00,13,1970
1SD,Open,Before Flood,Winter,9:57:00,14,4183
1SD,Open,Before Flood,Winter,10:26:00,15,1466
1SD,Closed,Before Flood,Winter,10:55:00,16,5689
1SD,Closed,Before Flood,Winter,11:26:00,17,15770
1SD,Open,Before Flood,Winter,11:50:00,18,5555
1SD,Closed,Before Flood,Winter,12:20:00,19,1393
1SD,Open,Before Flood,Winter,12:50:00,20,4185
2SD,Closed,Before Flood,Spring,9:08:00,21,4166
2SD,Open,Before Flood,Spring,9:39:00,22,72
2SD,Open,Before Flood,Spring,10:03:00,23,1522
2SD,Closed,Before Flood,Spring,10:26:00,24,2690
2SD,Open,Before Flood,Spring,10:47:00,25,10415
2SD,Closed,Before Flood,Spring,11:14:00,26,5495
2SD,Open,Before Flood,Spring,11:37:00,27,4179
2SD,Closed,Before Flood,Spring,11:55:00,28,11245
2SD,Open,Before Flood,Spring,12:19:00,29,2611
2SD,Closed,Before Flood,Spring,12:38:00,30,17206
2SD,Open,Before Flood,Spring,13:28:00,31,12523
2SD,Closed,Before Flood,Spring,13:56:00,32,4274
2SD,Open,Before Flood,Spring,14:20:00,33,4129
2SD,Closed,Before Flood,Spring,14:43:00,34,8647
2SD,Open,Before Flood,Spring,15:10:00,35,1574
2SD,Closed,Before Flood,Spring,15:30:00,36,42955
2SD,Open,Before Flood,Spring,16:44:00,37,2496
2SD,Open,Before Flood,Spring,17:36:00,38,762
2SD,Closed,Before Flood,Spring,17:56:00,39,8153
3SD,Closed,After Flood,Winter,10:33:00,40,78
3SD,Open,After Flood,Winter,11:07:00,41,1372
3SD,Closed,After Flood,Winter,11:26:00,42,1657
3SD,Open,After Flood,Winter,11:45:00,43,191
3SD,Closed,After Flood,Winter,12:10:00,44,1137
3SD,Open,After Flood,Winter,12:32:00,45,1186
3SD,Closed,After Flood,Winter,12:42:00,46,2838
3SD,Open,After Flood,Winter,13:10:00,47,2920
3SD,Closed,After Flood,Winter,13:24:00,48,114
3SD,Closed,After Flood,Winter,13:43:00,49,4051
3SD,Open,After Flood,Winter,14:22:00,50,1294
3SD,Closed,After Flood,Winter,14:35:00,51,2752
3SD,Open,After Flood,Winter,14:54:00,52,1423
3SD,Closed,After Flood,Winter,15:15:00,53,1267
3SD,Closed,After Flood,Winter,15:38:00,54,2744
3SD,Open,After Flood,Winter,15:57:00,55,1268
3SD,Closed,After Flood,Winter,16:15:00,56,4210
3SD,Open,After Flood,Winter,16:36:00,57,973
3SD,Open,After Flood,Winter,17:00:00,58,3933
3SD,Open,After Flood,Winter,17:18:00,59,1018
4SD,Closed,After Flood,Spring,9:57:00,60,1768
4SD,Open,After Flood,Spring,10:16:00,61,288
4SD,Closed,After Flood,Spring,10:40:00,62,1757
4SD,Closed,After Flood,Spring,11:05:00,63,171
4SD,Open,After Flood,Spring,11:25:00,64,1356
4SD,Open,After Flood,Spring,11:45:00,65,1137
4SD,Closed,After Flood,Spring,12:05:00,66,158
4SD,Closed,After Flood,Spring,12:20:00,67,1253
4SD,Closed,After Flood,Spring,12:35:00,68,2624
4SD,Open,After Flood,Spring,13:15:00,69,15
4SD,Closed,After Flood,Spring,13:32:00,70,1180
4SD,Open,After Flood,Spring,13:45:00,71,2451
4SD,Open,After Flood,Spring,13:57:00,72,1128
4SD,Closed,After Flood,Spring,14:20:00,73,1140
4SD,Closed,After Flood,Spring,14:40:00,74,2599
4SD,Open,After Flood,Spring,14:57:00,75,948
4SD,Open,After Flood,Spring,15:12:00,76,1594
4SD,Closed,After Flood,Spring,15:35:00,77,1038
4SD,Open,After Flood,Spring,15:47:00,78,887
4SD,Open,After Flood,Spring,16:10:00,79,977
