Habitat,Season,Flood,arrival_time_mins
Open,Winter,Before Flood,2695
Open,Winter,Before Flood,1970
Open,Winter,Before Flood,4185
Open,Winter,Before Flood,4183
Open,Winter,Before Flood,1466
Closed,Winter,Before Flood,5689
Closed,Winter,Before Flood,1344
Open,Winter,Before Flood,7035
Closed,Winter,Before Flood,15770
Open,Winter,Before Flood,5555
Closed,Winter,Before Flood,1393
Open,Winter,Before Flood,1311
Closed,Winter,Before Flood,5614
Open,Winter,Before Flood,70
Closed,Winter,Before Flood,1154
Closed,Winter,Before Flood,4344
Open,Winter,Before Flood,1061
Closed,Winter,Before Flood,1277
Closed,Winter,Before Flood,1381
Closed,Winter,Before Flood,43
Closed,Spring,Before Flood,4166
Open,Spring,Before Flood,72
Open,Spring,Before Flood,1522
Closed,Spring,Before Flood,2690
Open,Spring,Before Flood,10415
Closed,Spring,Before Flood,5495
Open,Spring,Before Flood,4179
Closed,Spring,Before Flood,11245
Open,Spring,Before Flood,2611
Closed,Spring,Before Flood,17206
Open,Spring,Before Flood,12523
Closed,Spring,Before Flood,4274
Open,Spring,Before Flood,4129
Closed,Spring,Before Flood,8647
Open,Spring,Before Flood,1574
Closed,Spring,Before Flood,42955
Open,Spring,Before Flood,2496
Open,Spring,Before Flood,762
Closed,Spring,Before Flood,8153
Closed,Winter,After Flood,78
Open,Winter,After Flood,1372
Closed,Winter,After Flood,1657
Open,Winter,After Flood,191
Closed,Winter,After Flood,1137
Open,Winter,After Flood,1186
Closed,Winter,After Flood,2838
Open,Winter,After Flood,2920
Closed,Winter,After Flood,114
Closed,Winter,After Flood,4051
Open,Winter,After Flood,1294
Closed,Winter,After Flood,2752
Open,Winter,After Flood,1423
Closed,Winter,After Flood,1267
Closed,Winter,After Flood,2744
Open,Winter,After Flood,1268
Closed,Winter,After Flood,4210
Open,Winter,After Flood,973
Open,Winter,After Flood,3933
Open,Winter,After Flood,1018
Open,Spring,After Flood,887
Closed,Spring,After Flood,1038
Closed,Spring,After Flood,1768
Open,Spring,After Flood,288
Closed,Spring,After Flood,1757
Closed,Spring,After Flood,171
Open,Spring,After Flood,1356
Open,Spring,After Flood,1137
Closed,Spring,After Flood,158
Closed,Spring,After Flood,1253
Closed,Spring,After Flood,2624
Open,Spring,After Flood,15
Closed,Spring,After Flood,1180
Open,Spring,After Flood,2451
Open,Spring,After Flood,1128
Closed,Spring,After Flood,1140
Open,Spring,After Flood,977
Closed,Spring,After Flood,2599
Open,Spring,After Flood,948
Open,Spring,After Flood,1594
