Carcass Drop,Site,Site_R,Flood,Season,Habitat,Date,Days since laid,group_size,visit_time,visit_time_rounded,visit_time_mins,visit_time_hours
1SD,1,1SD1,Before Flood,Winter,Open,22/06/2018,2,2,41.4,41,41,0.683333333
1SD,1,1SD1,Before Flood,Winter,Open,22/06/2018,2,2,110.5333333,111,111,1.85
1SD,1,1SD1,Before Flood,Winter,Open,23/06/2018,3,8,0.85,1,1,0.016666667
1SD,1,1SD1,Before Flood,Winter,Open,23/06/2018,3,1,3.883333333,4,4,0.066666667
1SD,1,1SD1,Before Flood,Winter,Open,23/06/2018,3,2,12.88333333,13,13,0.216666667
1SD,1,1SD1,Before Flood,Winter,Open,23/06/2018,3,2,15.15,15,15,0.25
1SD,1,1SD1,Before Flood,Winter,Open,23/06/2018,3,2,36.1,36,36,0.6
1SD,1,1SD1,Before Flood,Winter,Open,24/06/2018,4,1,4.683333333,5,5,0.083333333
1SD,1,1SD1,Before Flood,Winter,Open,24/06/2018,4,2,8.383333333,8,8,0.133333333
1SD,1,1SD1,Before Flood,Winter,Open,24/06/2018,4,2,9.316666667,9,9,0.15
1SD,1,1SD1,Before Flood,Winter,Open,28/06/2018,8,2,10.81666667,11,11,0.183333333
1SD,1,1SD1,Before Flood,Winter,Open,28/06/2018,8,2,17.46666667,17,17,0.283333333
1SD,1,1SD1,Before Flood,Winter,Open,30/06/2018,10,2,13.9,14,14,0.233333333
1SD,1,1SD1,Before Flood,Winter,Open,4/07/2018,14,4,9.583333333,10,10,0.166666667
1SD,1,1SD1,Before Flood,Winter,Open,4/07/2018,14,2,39.61666667,40,40,0.666666667
1SD,1,1SD1,Before Flood,Winter,Open,5/07/2018,15,1,2.466666667,2,2,0.033333333
1SD,1,1SD1,Before Flood,Winter,Open,5/07/2018,15,2,37.96666667,38,38,0.633333333
1SD,1,1SD1,Before Flood,Winter,Open,5/07/2018,15,7,39.43333333,39,39,0.65
1SD,1,1SD1,Before Flood,Winter,Open,7/07/2018,17,10,11.9,12,12,0.2
1SD,1,1SD1,Before Flood,Winter,Open,8/07/2018,18,1,1.566666667,2,2,0.033333333
1SD,1,1SD1,Before Flood,Winter,Open,8/07/2018,18,4,39.15,39,39,0.65
1SD,1,1SD1,Before Flood,Winter,Open,10/07/2018,20,6,8.183333333,8,8,0.133333333
1SD,1,1SD1,Before Flood,Winter,Open,10/07/2018,20,5,11.55,12,12,0.2
1SD,1,1SD1,Before Flood,Winter,Open,10/07/2018,20,1,12.05,12,12,0.2
1SD,1,1SD1,Before Flood,Winter,Open,12/07/2018,22,2,4.85,5,5,0.083333333
1SD,1,1SD1,Before Flood,Winter,Open,12/07/2018,22,2,24.7,25,25,0.416666667
1SD,1,1SD1,Before Flood,Winter,Open,13/07/2018,23,2,19.26666667,19,19,0.316666667
1SD,1,1SD1,Before Flood,Winter,Open,14/07/2018,24,1,10.28333333,10,10,0.166666667
1SD,1,1SD1,Before Flood,Winter,Open,14/07/2018,24,2,34.81666667,35,35,0.583333333
1SD,1,1SD1,Before Flood,Winter,Open,15/07/2018,25,3,13.36666667,13,13,0.216666667
1SD,1,1SD1,Before Flood,Winter,Open,16/07/2018,26,2,9.983333333,10,10,0.166666667
1SD,1,1SD1,Before Flood,Winter,Open,16/07/2018,26,2,28.88333333,29,29,0.483333333
1SD,1,1SD1,Before Flood,Winter,Open,17/07/2018,27,6,11.3,11,11,0.183333333
1SD,1,1SD1,Before Flood,Winter,Open,17/07/2018,27,2,16.81666667,17,17,0.283333333
1SD,1,1SD1,Before Flood,Winter,Open,18/07/2018,28,1,1.7,2,2,0.033333333
1SD,1,1SD1,Before Flood,Winter,Open,18/07/2018,28,2,5.1,5,5,0.083333333
1SD,1,1SD1,Before Flood,Winter,Open,20/07/2018,30,2,3.683333333,4,4,0.066666667
1SD,2,1SD2,Before Flood,Winter,Open,22/06/2018,1,1,0.916666667,1,1,0.016666667
1SD,2,1SD2,Before Flood,Winter,Open,23/06/2018,2,1,2.383333333,2,2,0.033333333
1SD,2,1SD2,Before Flood,Winter,Open,23/06/2018,2,1,3.133333333,3,3,0.05
1SD,2,1SD2,Before Flood,Winter,Open,23/06/2018,2,1,5.183333333,5,5,0.083333333
1SD,2,1SD2,Before Flood,Winter,Open,23/06/2018,2,1,6.4,6,6,0.1
1SD,2,1SD2,Before Flood,Winter,Open,23/06/2018,2,2,9.2,9,9,0.15
1SD,2,1SD2,Before Flood,Winter,Open,23/06/2018,2,2,17.4,17,17,0.283333333
1SD,2,1SD2,Before Flood,Winter,Open,23/06/2018,2,4,18.53333333,19,19,0.316666667
1SD,2,1SD2,Before Flood,Winter,Open,23/06/2018,2,2,23.51666667,24,24,0.4
1SD,2,1SD2,Before Flood,Winter,Open,23/06/2018,2,6,32.55,33,33,0.55
1SD,2,1SD2,Before Flood,Winter,Open,23/06/2018,2,4,67.61666667,68,68,1.133333333
1SD,2,1SD2,Before Flood,Winter,Open,24/06/2018,3,1,1.283333333,1,1,0.016666667
1SD,2,1SD2,Before Flood,Winter,Open,24/06/2018,3,1,3.483333333,3,3,0.05
1SD,2,1SD2,Before Flood,Winter,Open,24/06/2018,3,1,5.9,6,6,0.1
1SD,2,1SD2,Before Flood,Winter,Open,24/06/2018,3,1,6.716666667,7,7,0.116666667
1SD,2,1SD2,Before Flood,Winter,Open,25/06/2018,4,2,5.7,6,6,0.1
1SD,2,1SD2,Before Flood,Winter,Open,25/06/2018,4,7,11.11666667,11,11,0.183333333
1SD,2,1SD2,Before Flood,Winter,Open,25/06/2018,4,7,32.36666667,32,32,0.533333333
1SD,2,1SD2,Before Flood,Winter,Open,25/06/2018,4,5,33.71666667,34,34,0.566666667
1SD,2,1SD2,Before Flood,Winter,Open,25/06/2018,4,4,89.25,89,89,1.483333333
1SD,2,1SD2,Before Flood,Winter,Open,26/06/2018,5,2,1.466666667,1,1,0.016666667
1SD,2,1SD2,Before Flood,Winter,Open,26/06/2018,5,2,5.516666667,6,6,0.1
1SD,2,1SD2,Before Flood,Winter,Open,26/06/2018,5,2,6.466666667,6,6,0.1
1SD,2,1SD2,Before Flood,Winter,Open,26/06/2018,5,9,7.566666667,8,8,0.133333333
1SD,2,1SD2,Before Flood,Winter,Open,26/06/2018,5,2,19.7,20,20,0.333333333
1SD,2,1SD2,Before Flood,Winter,Open,26/06/2018,5,4,24.93333333,25,25,0.416666667
1SD,2,1SD2,Before Flood,Winter,Open,26/06/2018,5,4,38.23333333,38,38,0.633333333
1SD,2,1SD2,Before Flood,Winter,Open,26/06/2018,5,3,38.8,39,39,0.65
1SD,2,1SD2,Before Flood,Winter,Open,26/06/2018,5,8,40.48333333,40,40,0.666666667
1SD,2,1SD2,Before Flood,Winter,Open,26/06/2018,5,7,45.13333333,45,45,0.75
1SD,2,1SD2,Before Flood,Winter,Open,26/06/2018,5,11,80.31666667,80,80,1.333333333
1SD,2,1SD2,Before Flood,Winter,Open,27/06/2018,6,1,2.25,2,2,0.033333333
1SD,2,1SD2,Before Flood,Winter,Open,27/06/2018,6,2,2.9,3,3,0.05
1SD,2,1SD2,Before Flood,Winter,Open,27/06/2018,6,2,3.716666667,4,4,0.066666667
1SD,2,1SD2,Before Flood,Winter,Open,27/06/2018,6,3,6.183333333,6,6,0.1
1SD,2,1SD2,Before Flood,Winter,Open,27/06/2018,6,2,8.25,8,8,0.133333333
1SD,2,1SD2,Before Flood,Winter,Open,27/06/2018,6,4,18.98333333,19,19,0.316666667
1SD,2,1SD2,Before Flood,Winter,Open,27/06/2018,6,2,20.56666667,21,21,0.35
1SD,2,1SD2,Before Flood,Winter,Open,27/06/2018,6,3,20.8,21,21,0.35
1SD,2,1SD2,Before Flood,Winter,Open,27/06/2018,6,4,49.9,50,50,0.833333333
1SD,2,1SD2,Before Flood,Winter,Open,28/06/2018,7,2,2.55,3,3,0.05
1SD,2,1SD2,Before Flood,Winter,Open,28/06/2018,7,2,4.716666667,5,5,0.083333333
1SD,2,1SD2,Before Flood,Winter,Open,28/06/2018,7,2,4.75,5,5,0.083333333
1SD,2,1SD2,Before Flood,Winter,Open,28/06/2018,7,2,7.666666667,8,8,0.133333333
1SD,2,1SD2,Before Flood,Winter,Open,28/06/2018,7,3,10.28333333,10,10,0.166666667
1SD,2,1SD2,Before Flood,Winter,Open,28/06/2018,7,3,17.01666667,17,17,0.283333333
1SD,2,1SD2,Before Flood,Winter,Open,28/06/2018,7,2,35.06666667,35,35,0.583333333
1SD,2,1SD2,Before Flood,Winter,Open,29/06/2018,8,1,5.05,5,5,0.083333333
1SD,2,1SD2,Before Flood,Winter,Open,29/06/2018,8,1,12.98333333,13,13,0.216666667
1SD,2,1SD2,Before Flood,Winter,Open,1/07/2018,10,2,6.533333333,7,7,0.116666667
1SD,2,1SD2,Before Flood,Winter,Open,2/07/2018,11,2,1.633333333,2,2,0.033333333
1SD,2,1SD2,Before Flood,Winter,Open,2/07/2018,11,2,4.95,5,5,0.083333333
1SD,2,1SD2,Before Flood,Winter,Open,2/07/2018,11,4,8.05,8,8,0.133333333
1SD,2,1SD2,Before Flood,Winter,Open,2/07/2018,11,2,15.16666667,15,15,0.25
1SD,2,1SD2,Before Flood,Winter,Open,3/07/2018,12,1,10.65,11,11,0.183333333
1SD,2,1SD2,Before Flood,Winter,Open,4/07/2018,13,2,30.01666667,30,30,0.5
1SD,2,1SD2,Before Flood,Winter,Open,5/07/2018,14,2,13,13,13,0.216666667
1SD,2,1SD2,Before Flood,Winter,Open,6/07/2018,15,2,2.4,2,2,0.033333333
1SD,2,1SD2,Before Flood,Winter,Open,6/07/2018,15,2,7.3,7,7,0.116666667
1SD,2,1SD2,Before Flood,Winter,Open,6/07/2018,15,6,7.966666667,8,8,0.133333333
1SD,2,1SD2,Before Flood,Winter,Open,7/07/2018,16,2,9.483333333,9,9,0.15
1SD,2,1SD2,Before Flood,Winter,Open,7/07/2018,16,13,26.03333333,26,26,0.433333333
1SD,2,1SD2,Before Flood,Winter,Open,8/07/2018,17,2,1.6,2,2,0.033333333
1SD,2,1SD2,Before Flood,Winter,Open,8/07/2018,17,8,12.3,12,12,0.2
1SD,2,1SD2,Before Flood,Winter,Open,8/07/2018,17,4,15.75,16,16,0.266666667
1SD,2,1SD2,Before Flood,Winter,Open,8/07/2018,17,3,18.51666667,19,19,0.316666667
