ID,Carcass_Drop,Site,site_r,Habitat,Season,Flood,Species,Group_size,Discovery_time_hours,Presence_first
1,1SD,1,1SD1,Open,Cool,BF,Corvid,2,45,1
2,1SD,2,1SD2,Open,Cool,BF,Corvid,1,33,1
3,1SD,3,1SD3,Open,Cool,BF,Corvid,2,70,1
4,1SD,4,1SD4,Open,Cool,BF,Corvid,3,70,1
5,1SD,5,1SD5,Open,Cool,BF,Corvid,2,24,1
6,1SD,6,1SD6,Closed,Cool,BF,Corvid,1,95,1
7,1SD,7,1SD7,Closed,Cool,BF,Corvid,1,22,1
8,1SD,8,1SD8,Open,Cool,BF,Corvid,1,117,1
9,1SD,9,1SD9,Closed,Cool,BF,Corvid,1,263,1
10,1SD,10,1SD10,Open,Cool,BF,Corvid,1,93,1
11,1SD,11,1SD11,Closed,Cool,BF,Corvid,1,23,1
12,1SD,12,1SD12,Open,Cool,BF,Corvid,1,22,1
13,1SD,13,1SD13,Closed,Cool,BF,Corvid,1,94,1
14,1SD,14,1SD14,Open,Cool,BF,Corvid,1,1,1
15,1SD,15,1SD15,Closed,Cool,BF,Corvid,2,19,1
16,1SD,16,1SD16,Closed,Cool,BF,Corvid,2,72,1
17,1SD,17,1SD17,Open,Cool,BF,Corvid,1,18,1
18,1SD,18,1SD18,Closed,Cool,BF,Corvid,2,21,1
19,1SD,19,1SD19,Closed,Cool,BF,Corvid,2,23,1
20,1SD,20,1SD20,Closed,Cool,BF,Corvid,1,1,1
21,2SD,1,2SD1,Closed,Warm,BF,Corvid,2,69,1
22,2SD,2,2SD2,Open,Warm,BF,Corvid,2,1,1
23,2SD,3,2SD3,Open,Warm,BF,Corvid,2,25,1
24,2SD,4,2SD4,Closed,Warm,BF,Corvid,2,45,1
25,2SD,5,2SD5,Open,Warm,BF,Corvid,1,174,1
26,2SD,6,2SD6,Closed,Warm,BF,Corvid,2,92,1
27,2SD,7,2SD7,Open,Warm,BF,Corvid,4,70,1
28,2SD,8,2SD8,Closed,Warm,BF,Corvid,2,187,1
29,2SD,9,2SD9,Open,Warm,BF,Corvid,1,44,1
30,2SD,10,2SD10,Closed,Warm,BF,Corvid,2,287,1
31,2SD,11,2SD11,Closed,Warm,BF,Corvid,7,841,1
32,2SD,12,2SD12,Open,Warm,BF,Corvid,2,209,1
33,2SD,13,2SD13,Closed,Warm,BF,Corvid,2,71,1
34,2SD,14,2SD14,Open,Warm,BF,Littlecrow,2,69,1
35,2SD,15,2SD15,Closed,Warm,BF,Littlecrow,1,144,1
36,2SD,16,2SD16,Open,Warm,BF,Littlecrow,2,26,1
37,2SD,17,2SD17,Closed,Warm,BF,LittleCrow,1,716,1
38,2SD,18,2SD18,Open,Warm,BF,Corvid,1,42,1
39,2SD,19,2SD19,Open,Warm,BF,Littlecrow,2,13,1
40,2SD,20,2SD20,Closed,Warm,BF,Corvid,2,136,1
41,3SD,1,3SD1,Closed,Cool,AF,Corvid,3,1,1
42,3SD,2,3SD2,Open,Cool,AF,Corvid,1,23,1
43,3SD,3,3SD3,Closed,Cool,AF,Corvid,1,28,1
44,3SD,4,3SD4,Open,Cool,AF,Corvid,6,3,1
45,3SD,5,3SD5,Closed,Cool,AF,Corvid,2,19,1
46,3SD,6,3SD6,Open,Cool,AF,Corvid,2,20,1
47,3SD,7,3SD7,Closed,Cool,AF,Corvid,1,47,1
48,3SD,8,3SD8,Open,Cool,AF,Corvid,3,49,1
49,3SD,9,3SD9,Closed,Cool,AF,Corvid,1,2,1
50,3SD,10,3SD10,Closed,Cool,AF,Corvid,1,68,1
51,3SD,11,3SD11,Open,Cool,AF,Corvid,1,22,1
52,3SD,12,3SD12,Closed,Cool,AF,Corvid,1,46,1
53,3SD,13,3SD13,Open,Cool,AF,Corvid,6,24,1
54,3SD,14,3SD14,Closed,Cool,AF,Corvid,1,21,1
55,3SD,15,3SD15,Closed,Cool,AF,Corvid,2,46,1
56,3SD,16,3SD16,Open,Cool,AF,Corvid,1,21,1
57,3SD,17,3SD17,Closed,Cool,AF,Corvid,2,70,1
58,3SD,18,3SD18,Open,Cool,AF,Corvid,1,16,1
59,3SD,19,3SD19,Open,Cool,AF,Corvid,1,66,1
60,3SD,20,3SD20,Open,Cool,AF,Corvid,1,17,1
61,4SD,1,4SD1,Open,Warm,AF,Corvid,2,15,1
62,4SD,2,4SD2,Closed,Warm,AF,Little Crow,4,17,1
63,4SD,3,4SD3,Closed,Warm,AF,Corvid,2,29,1
64,4SD,4,4SD4,Open,Warm,AF,Corvid,3,5,1
65,4SD,5,4SD5,Closed,Warm,AF,Corvid,2,29,1
66,4SD,6,4SD6,Closed,Warm,AF,Corvid,2,3,1
67,4SD,7,4SD7,Open,Warm,AF,Corvid,1,23,1
68,4SD,8,4SD8,Open,Warm,AF,Corvid,1,19,1
69,4SD,9,4SD9,Closed,Warm,AF,Corvid,2,3,1
70,4SD,10,4SD10,Closed,Warm,AF,Little Crow,2,21,1
71,4SD,11,4SD11,Closed,Warm,AF,LittleCrow,2,44,1
72,4SD,12,4SD12,Open,Warm,AF,Corvid,1,0,1
73,4SD,13,4SD13,Closed,Warm,AF,Corvid,1,20,1
