Carcass_Drop,Site,site_r,Habitat,Season,Flood,Species,Group_size,temp,arrival_time,arrival_time_mins,log_mins,log_arrival_time
1SD,1,1SD1,Open,Winter,Before Flood,Corvid,2,11.58,45,2695,7.899351361,2.04140336
1SD,2,1SD2,Open,Winter,Before Flood,Corvid,1,11.58,33,1970,7.586533046,1.906681595
1SD,3,1SD3,Open,Winter,Before Flood,Corvid,2,16.35,70,4185,8.339449142,2.23552931
1SD,4,1SD4,Open,Winter,Before Flood,Corvid,3,16.35,70,4183,8.339034956,2.235344321
1SD,5,1SD5,Open,Winter,Before Flood,Corvid,2,11.58,24,1466,7.291167897,1.782295859
1SD,6,1SD6,Closed,Winter,Before Flood,Corvid,1,18.22,95,5689,8.646471385,2.373734234
1SD,7,1SD7,Closed,Winter,Before Flood,Corvid,1,10.62,22,1344,7.204161684,1.74622032
1SD,8,1SD8,Open,Winter,Before Flood,Corvid,1,18.22,117,7035,8.858742992,2.470462984
1SD,9,1SD9,Closed,Winter,Before Flood,Corvid,1,14.5,263,15770,9.665952395,2.845626128
1SD,10,1SD10,Open,Winter,Before Flood,Corvid,1,18.22,93,5555,8.622654702,2.362939033
1SD,11,1SD11,Closed,Winter,Before Flood,Corvid,1,11.58,23,1393,7.240243399,1.761148536
1SD,12,1SD12,Open,Winter,Before Flood,Corvid,1,10.62,22,1311,7.179130108,1.735891228
1SD,13,1SD13,Closed,Winter,Before Flood,Corvid,1,16.35,94,5614,8.633134532,2.367687665
1SD,14,1SD14,Open,Winter,Before Flood,Corvid,1,8.54,1,70,4.258445573,0.731312729
1SD,15,1SD15,Closed,Winter,Before Flood,Corvid,2,10.62,19,1154,7.051624716,1.683631368
1SD,16,1SD16,Closed,Winter,Before Flood,Corvid,2,13.99,72,4344,8.376781038,2.252219679
1SD,17,1SD17,Open,Winter,Before Flood,Corvid,1,10.62,18,1061,6.968113199,1.649732071
1SD,18,1SD18,Closed,Winter,Before Flood,Corvid,2,10.62,21,1277,7.153025552,1.725143433
1SD,19,1SD19,Closed,Winter,Before Flood,Corvid,2,11.58,23,1381,7.231588454,1.757563481
1SD,20,1SD20,Closed,Winter,Before Flood,Corvid,1,10.62,1,43,3.787970357,0.614212577
2SD,1,2SD1,Closed,Spring,Before Flood,Corvid,2,26.04,69,4166,8.334923633,2.233508285
2SD,2,2SD2,Open,Spring,Before Flood,Corvid,2,31.72,1,72,4.294560609,0.740853386
2SD,3,2SD3,Open,Spring,Before Flood,Corvid,2,26.44,25,1522,7.32827319,1.797761345
