Carcass Drop,Site,Site_number,Habitat,Flood,Season,Species,Group Size,Date detected (by predator),Time detected,Date carcass laid,Time carcass laid,Total until dected,Discovery_time_hours,discovery_time_mins,arrival_time_mins
2SD,1,2SD1,Closed,Before Flood,Warm,Corvid,2,13/10/2018,6:33:53,10/10/2018,9:08:00 AM,69:25:53,69.4,4166,4166
2SD,2,2SD2,Open,Before Flood,Warm,Corvid,2,10/10/2018,10:51:18,10/10/2018,9:39:00 AM,1:12:18,1.2,72,72
2SD,3,2SD3,Open,Before Flood,Warm,Corvid,2,11/10/2018,11:24:45,10/10/2018,10:03:00 AM,25:21:45,25.4,1522,1522
2SD,4,2SD4,Closed,Before Flood,Warm,Corvid,2,12/10/2018,7:16:19,10/10/2018,10:26:00 AM,44:50:19,44.8,2690,2690
2SD,5,2SD5,Open,Before Flood,Warm,Corvid,1,17/10/2018,16:22:11,10/10/2018,10:47:00 AM,173:35:11,173.6,10415,10415
2SD,6,2SD6,Closed,Before Flood,Warm,Corvid,2,14/10/2018,6:49:24,10/10/2018,11:14:00 AM,91:35:24,91.6,5495,5495
2SD,7,2SD7,Open,Before Flood,Warm,Corvid,4,13/10/2018,9:15:55,10/10/2018,11:37:00 AM,69:38:55,69.6,4179,4179
2SD,8,2SD8,Closed,Before Flood,Warm,Corvid,2,18/10/2018,7:20:03,10/10/2018,11:55:00 AM,187:25:03,187.4,11245,11245
2SD,9,2SD9,Open,Before Flood,Warm,Corvid,1,12/10/2018,7:49:56,10/10/2018,12:19:00 PM,43:30:56,43.5,2611,2611
2SD,10,2SD10,Closed,Before Flood,Warm,Corvid,2,22/10/2018,11:23:36,10/10/2018,12:38:00 PM,286:45:36,286.8,17206,17206
2SD,12,2SD12,Open,Before Flood,Warm,Corvid,2,19/10/2018,6:11:08,10/10/2018,1:28:00 PM,208:43:08,208.7,12523,12523
2SD,13,2SD13,Closed,Before Flood,Warm,Corvid,2,13/10/2018,13:09:47,10/10/2018,1:56:00 PM,71:13:47,71.2,4274,4274
2SD,14,2SD14,Open,Before Flood,Warm,Corvid,2,13/10/2018,11:09:22,10/10/2018,2:20:00 PM,68:49:22,68.8,4129,4129
2SD,15,2SD15,Closed,Before Flood,Warm,Corvid,1,16/10/2018,14:49:39,10/10/2018,2:43:00 PM,144:06:39,144.1,8647,8647
2SD,16,2SD16,Open,Before Flood,Warm,Corvid,2,11/10/2018,17:23:45,10/10/2018,3:10:00 PM,26:13:45,26.2,1574,1574
