Carcass Drop,Site,Flood,Season,Habitat,Species,group_size,event_length
2SD,1,Before Flood,Warm,Closed,Corvid,2,1
2SD,1,Before Flood,Warm,Closed,Corvid,2,0
2SD,1,Before Flood,Warm,Closed,Corvid,3,0
2SD,1,Before Flood,Warm,Closed,Corvid,2,0
2SD,1,Before Flood,Warm,Closed,Corvid,2,13
2SD,1,Before Flood,Warm,Closed,Corvid,1,0
2SD,1,Before Flood,Warm,Closed,Corvid,1,0
2SD,2,Before Flood,Warm,Open,Corvid,2,21
2SD,2,Before Flood,Warm,Open,Corvid,2,2
2SD,2,Before Flood,Warm,Open,Corvid,1,4
2SD,2,Before Flood,Warm,Open,Corvid,2,5
2SD,2,Before Flood,Warm,Open,Corvid,2,11
2SD,2,Before Flood,Warm,Open,Corvid,2,2
2SD,2,Before Flood,Warm,Open,Corvid,2,0
2SD,2,Before Flood,Warm,Open,Corvid,1,0
2SD,2,Before Flood,Warm,Open,Corvid,1,0
2SD,2,Before Flood,Warm,Open,Corvid,2,22
2SD,2,Before Flood,Warm,Open,Corvid,2,0
2SD,2,Before Flood,Warm,Open,Corvid,2,1
2SD,2,Before Flood,Warm,Open,Corvid,2,4
2SD,2,Before Flood,Warm,Open,Corvid,1,0
2SD,2,Before Flood,Warm,Open,Corvid,2,0
2SD,2,Before Flood,Warm,Open,Corvid,2,10
2SD,2,Before Flood,Warm,Open,Corvid,2,1
2SD,2,Before Flood,Warm,Open,Corvid,2,16
2SD,2,Before Flood,Warm,Open,Corvid,2,0
2SD,2,Before Flood,Warm,Open,Corvid,1,0
2SD,2,Before Flood,Warm,Open,Corvid,2,3
2SD,2,Before Flood,Warm,Open,Corvid,2,0
2SD,2,Before Flood,Warm,Open,Corvid,2,0
2SD,2,Before Flood,Warm,Open,Corvid,2,0
2SD,2,Before Flood,Warm,Open,Corvid,2,6
2SD,2,Before Flood,Warm,Open,Corvid,2,0
2SD,2,Before Flood,Warm,Open,Corvid,2,0
2SD,2,Before Flood,Warm,Open,Corvid,2,0
2SD,2,Before Flood,Warm,Open,Corvid,2,0
2SD,2,Before Flood,Warm,Open,Corvid,2,0
2SD,3,Before Flood,Warm,Open,Corvid,2,4
2SD,3,Before Flood,Warm,Open,Corvid,1,0
2SD,3,Before Flood,Warm,Open,Corvid,2,8
2SD,3,Before Flood,Warm,Open,LittleCrow,2,4
2SD,3,Before Flood,Warm,Open,Corvid,1,0
2SD,3,Before Flood,Warm,Open,LittleCrow,3,22
2SD,3,Before Flood,Warm,Open,LittleCrow,6,6
2SD,3,Before Flood,Warm,Open,Corvid,2,4
2SD,3,Before Flood,Warm,Open,Corvid,2,0
2SD,3,Before Flood,Warm,Open,Corvid,1,3
2SD,3,Before Flood,Warm,Open,Corvid,4,0
2SD,3,Before Flood,Warm,Open,Corvid,5,0
2SD,3,Before Flood,Warm,Open,LittleCrow,3,16
2SD,3,Before Flood,Warm,Open,Corvid,4,1
2SD,3,Before Flood,Warm,Open,LittleCrow,7,5
2SD,3,Before Flood,Warm,Open,Corvid,1,0
2SD,3,Before Flood,Warm,Open,Corvid,1,0
2SD,3,Before Flood,Warm,Open,Corvid,2,1
2SD,3,Before Flood,Warm,Open,Corvid,1,0
2SD,3,Before Flood,Warm,Open,Corvid,3,2
2SD,3,Before Flood,Warm,Open,Corvid,1,0
2SD,3,Before Flood,Warm,Open,Corvid,1,0
2SD,3,Before Flood,Warm,Open,Corvid,2,10
2SD,3,Before Flood,Warm,Open,Corvid,2,0
2SD,3,Before Flood,Warm,Open,Corvid,1,6
2SD,3,Before Flood,Warm,Open,Corvid,2,9
2SD,3,Before Flood,Warm,Open,LittleCrow,3,6
2SD,3,Before Flood,Warm,Open,Corvid,3,0
2SD,3,Before Flood,Warm,Open,LittleCrow,4,17
2SD,3,Before Flood,Warm,Open,Corvid,2,0
2SD,3,Before Flood,Warm,Open,Corvid,2,0
2SD,3,Before Flood,Warm,Open,Corvid,2,0
2SD,3,Before Flood,Warm,Open,Corvid,2,0
2SD,3,Before Flood,Warm,Open,Corvid,1,1
2SD,3,Before Flood,Warm,Open,Corvid,1,0
2SD,3,Before Flood,Warm,Open,Corvid,1,0
2SD,3,Before Flood,Warm,Open,Corvid,1,1
2SD,3,Before Flood,Warm,Open,LittleCrow,2,1
2SD,3,Before Flood,Warm,Open,Corvid,2,0
2SD,4,Before Flood,Warm,Closed,Corvid,2,0
2SD,4,Before Flood,Warm,Closed,Corvid,2,0
2SD,4,Before Flood,Warm,Closed,Corvid,1,7
2SD,4,Before Flood,Warm,Closed,Corvid,1,5
2SD,4,Before Flood,Warm,Closed,Corvid,2,12
2SD,4,Before Flood,Warm,Closed,Corvid,2,0
2SD,4,Before Flood,Warm,Closed,Corvid,2,0
2SD,4,Before Flood,Warm,Closed,Corvid,2,9
2SD,4,Before Flood,Warm,Closed,Corvid,1,0
2SD,4,Before Flood,Warm,Closed,LittleCrow,4,44
2SD,4,Before Flood,Warm,Closed,Corvid,1,0
2SD,4,Before Flood,Warm,Closed,Corvid,2,0
2SD,4,Before Flood,Warm,Closed,Corvid,2,31
2SD,4,Before Flood,Warm,Closed,Corvid,1,0
2SD,4,Before Flood,Warm,Closed,Corvid,2,6
2SD,4,Before Flood,Warm,Closed,Corvid,1,6
2SD,4,Before Flood,Warm,Closed,LittleCrow,3,5
2SD,4,Before Flood,Warm,Closed,Corvid,2,0
2SD,4,Before Flood,Warm,Closed,Corvid,2,0
2SD,4,Before Flood,Warm,Closed,Corvid,2,5
2SD,4,Before Flood,Warm,Closed,Corvid,3,8
2SD,4,Before Flood,Warm,Closed,LittleCrow,2,4
2SD,4,Before Flood,Warm,Closed,Corvid,2,0
2SD,4,Before Flood,Warm,Closed,Corvid,4,0
2SD,4,Before Flood,Warm,Closed,Corvid,5,8
2SD,4,Before Flood,Warm,Closed,LittleCrow,1,10
2SD,4,Before Flood,Warm,Closed,LittleCrow,2,19
2SD,4,Before Flood,Warm,Closed,Corvid,4,11
2SD,4,Before Flood,Warm,Closed,Corvid,2,0
2SD,4,Before Flood,Warm,Closed,Corvid,2,0
2SD,5,Before Flood,Warm,Open,Corvid,1,0
2SD,5,Before Flood,Warm,Open,Corvid,2,0
2SD,5,Before Flood,Warm,Open,Corvid,2,0
2SD,5,Before Flood,Warm,Open,Corvid,2,0
2SD,5,Before Flood,Warm,Open,Corvid,2,7
2SD,5,Before Flood,Warm,Open,LittleCrow,2,0
2SD,5,Before Flood,Warm,Open,Corvid,1,0
2SD,5,Before Flood,Warm,Open,Corvid,7,0
2SD,5,Before Flood,Warm,Open,Corvid,7,9
2SD,5,Before Flood,Warm,Open,LittleCrow,7,5
2SD,5,Before Flood,Warm,Open,Corvid,6,15
2SD,5,Before Flood,Warm,Open,Corvid,4,12
2SD,5,Before Flood,Warm,Open,Corvid,4,0
2SD,5,Before Flood,Warm,Open,Corvid,2,2
2SD,5,Before Flood,Warm,Open,Corvid,2,0
2SD,5,Before Flood,Warm,Open,Corvid,2,0
2SD,5,Before Flood,Warm,Open,Corvid,2,0
