Carcass Drop,Site,site_R,Flood,Season,Habitat,Date,Days_available,Event_values,Species,group_size,Min_time,Max_time,time_diff,time_diff_mins,event_rounded
1SD,1,1SD1,Before Flood,Cool,Open,22/06/2018,2,1,Corvid,2,0.489953704,0.518703704,0.02875,41.4,41
1SD,1,1SD1,Before Flood,Cool,Open,22/06/2018,2,2,Corvid,2,0.662685185,0.739444444,0.076759259,110.533333,111
1SD,1,1SD1,Before Flood,Cool,Open,22/06/2018,2,3,Corvid,2,0.760671296,0.760763889,9.26E-05,0.13333392,0
1SD,1,1SD1,Before Flood,Cool,Open,23/06/2018,3,4,Corvid,2,0.317037037,0.325983796,0.008946759,12.88333296,13
1SD,1,1SD1,Before Flood,Cool,Open,23/06/2018,3,5,Corvid,2,0.380891204,0.405960648,0.025069444,36.09999936,36
1SD,1,1SD1,Before Flood,Cool,Open,23/06/2018,3,6,Corvid,8,0.431851852,0.43244213,0.000590278,0.85000032,1
1SD,1,1SD1,Before Flood,Cool,Open,23/06/2018,3,7,Corvid,2,0.526354167,0.536875,0.010520833,15.14999952,15
1SD,1,1SD1,Before Flood,Cool,Open,23/06/2018,3,8,Corvid,2,0.698634259,0.698715278,8.10E-05,0.11666736,0
1SD,1,1SD1,Before Flood,Cool,Open,23/06/2018,3,9,Corvid,1,0.711921296,0.714618056,0.00269676,3.8833344,4
1SD,1,1SD1,Before Flood,Cool,Open,23/06/2018,3,10,Corvid,1,0.730335648,0.730601852,0.000266204,0.38333376,0
1SD,1,1SD1,Before Flood,Cool,Open,24/06/2018,4,11,Corvid,1,0.389386574,0.392638889,0.003252315,4.6833336,5
1SD,1,1SD1,Before Flood,Cool,Open,24/06/2018,4,12,Corvid,2,0.400428241,0.406898148,0.006469907,9.31666608,9
1SD,1,1SD1,Before Flood,Cool,Open,24/06/2018,4,13,Corvid,2,0.516446759,0.522268519,0.00582176,8.3833344,8
1SD,1,1SD1,Before Flood,Cool,Open,26/06/2018,6,14,Corvid,2,0.442337963,0.442673611,0.000335648,0.48333312,0
1SD,1,1SD1,Before Flood,Cool,Open,28/06/2018,8,15,Corvid,2,0.441574074,0.453703704,0.01212963,17.4666672,17
1SD,1,1SD1,Before Flood,Cool,Open,28/06/2018,8,16,Corvid,2,0.469803241,0.477314815,0.007511574,10.81666656,11
1SD,1,1SD1,Before Flood,Cool,Open,29/06/2018,9,17,Corvid,1,0.541608796,0.541631944,2.31E-05,0.03333312,0
1SD,1,1SD1,Before Flood,Cool,Open,29/06/2018,9,18,Corvid,1,0.638310185,0.638506944,0.000196759,0.28333296,0
1SD,1,1SD1,Before Flood,Cool,Open,30/06/2018,10,19,Corvid,2,0.383460648,0.393113426,0.009652778,13.90000032,14
1SD,1,1SD1,Before Flood,Cool,Open,4/07/2018,14,20,Corvid,2,0.396331019,0.423842593,0.027511574,39.61666656,40
1SD,1,1SD1,Before Flood,Cool,Open,4/07/2018,14,21,Corvid,4,0.749583333,0.756238426,0.006655093,9.58333392,10
1SD,1,1SD1,Before Flood,Cool,Open,5/07/2018,15,22,Corvid,1,0.306643519,0.306724537,8.10E-05,0.11666592,0
1SD,1,1SD1,Before Flood,Cool,Open,5/07/2018,15,23,Corvid,1,0.329166667,0.329270833,0.000104166,0.14999904,0
1SD,1,1SD1,Before Flood,Cool,Open,5/07/2018,15,24,Corvid,7,0.472592593,0.499976852,0.027384259,39.43333296,39
1SD,1,1SD1,Before Flood,Cool,Open,5/07/2018,15,25,Corvid,2,0.695138889,0.72150463,0.026365741,37.96666704,38
1SD,1,1SD1,Before Flood,Cool,Open,5/07/2018,15,26,Corvid,1,0.730324074,0.732037037,0.001712963,2.46666672,2
1SD,1,1SD1,Before Flood,Cool,Open,7/07/2018,17,27,Corvid,10,0.710868056,0.719131944,0.008263888,11.89999872,12
1SD,1,1SD1,Before Flood,Cool,Open,8/07/2018,18,28,Corvid,4,0.347881944,0.375069444,0.0271875,39.15,39
1SD,1,1SD1,Before Flood,Cool,Open,8/07/2018,18,29,Corvid,1,0.388819444,0.389907407,0.001087963,1.56666672,2
1SD,1,1SD1,Before Flood,Cool,Open,8/07/2018,18,30,Corvid,1,0.461481481,0.461481481,0,0,0
1SD,1,1SD1,Before Flood,Cool,Open,10/07/2018,20,31,Corvid,6,0.317048611,0.322731481,0.00568287,8.1833328,8
1SD,1,1SD1,Before Flood,Cool,Open,10/07/2018,20,32,Corvid,5,0.617094907,0.625115741,0.008020834,11.55000096,12
1SD,1,1SD1,Before Flood,Cool,Open,10/07/2018,20,33,Corvid,1,0.737314815,0.74568287,0.008368055,12.0499992,12
1SD,1,1SD1,Before Flood,Cool,Open,12/07/2018,22,34,Corvid,2,0.401875,0.405243056,0.003368056,4.85000064,5
1SD,1,1SD1,Before Flood,Cool,Open,12/07/2018,22,35,Corvid,2,0.433935185,0.451087963,0.017152778,24.70000032,25
1SD,1,1SD1,Before Flood,Cool,Open,13/07/2018,23,36,Corvid,2,0.312997685,0.326377315,0.01337963,19.2666672,19
1SD,1,1SD1,Before Flood,Cool,Open,14/07/2018,24,37,Corvid,2,0.303657407,0.327835648,0.024178241,34.81666704,35
1SD,1,1SD1,Before Flood,Cool,Open,14/07/2018,24,38,Corvid,1,0.38787037,0.395011574,0.007141204,10.28333376,10
1SD,1,1SD1,Before Flood,Cool,Open,14/07/2018,24,39,Corvid,2,0.447083333,0.447164352,8.10E-05,0.11666736,0
1SD,1,1SD1,Before Flood,Cool,Open,15/07/2018,25,40,Corvid,1,0.441747685,0.441793981,4.63E-05,0.06666624,0
1SD,1,1SD1,Before Flood,Cool,Open,15/07/2018,25,41,Corvid,3,0.454907407,0.464189815,0.009282408,13.36666752,13
1SD,1,1SD1,Before Flood,Cool,Open,16/07/2018,26,42,Corvid,2,0.29806713,0.318125,0.02005787,28.8833328,29
1SD,1,1SD1,Before Flood,Cool,Open,16/07/2018,26,43,Corvid,2,0.768726852,0.775659722,0.00693287,9.9833328,10
1SD,1,1SD1,Before Flood,Cool,Open,17/07/2018,27,44,Corvid,2,0.319502315,0.331180556,0.011678241,16.81666704,17
1SD,1,1SD1,Before Flood,Cool,Open,17/07/2018,27,45,Corvid,6,0.39505787,0.402905093,0.007847223,11.30000112,11
1SD,1,1SD1,Before Flood,Cool,Open,18/07/2018,28,46,Corvid,1,0.399618056,0.400798611,0.001180555,1.6999992,2
1SD,1,1SD1,Before Flood,Cool,Open,18/07/2018,28,47,Corvid,2,0.442337963,0.44587963,0.003541667,5.10000048,5
1SD,1,1SD1,Before Flood,Cool,Open,20/07/2018,30,48,Corvid,2,0.317268519,0.319826389,0.00255787,3.6833328,4
1SD,1,1SD1,Before Flood,Cool,Open,20/07/2018,30,49,Corvid,10,0.57818287,0.578425926,0.000243056,0.35000064,0
1SD,2,1SD2,Before Flood,Cool,Open,22/06/2018,1,50,Corvid,1,0.760046296,0.76068287,0.000636574,0.91666656,1
