Carcass Drop,Site,Flood,Season,Habitat,Date,Days since laid,Event_values,Species,group_size,Min of Time,Max of Time,time_diff,time_diff_values,time_diff_minutes
2SD,1,Before Flood,Warm,Closed,13/10/2018,3,1821,Corvid,2,0.273530093,0.274305556,0:01:07,0:01:07,1.116666667
2SD,1,Before Flood,Warm,Closed,17/10/2018,7,1822,Corvid,2,0.422916667,0.423055556,0:00:12,0:00:12,0.2
2SD,1,Before Flood,Warm,Closed,18/10/2018,8,1823,Corvid,3,0.743587963,0.743900463,0:00:27,0:00:27,0.45
2SD,1,Before Flood,Warm,Closed,21/10/2018,11,1824,Corvid,2,0.297696759,0.297696759,0:00:00,0:00:00,0
2SD,1,Before Flood,Warm,Closed,24/10/2018,14,1825,Corvid,2,0.333425926,0.342118056,0:12:31,0:12:31,12.51666667
2SD,1,Before Flood,Warm,Closed,25/10/2018,15,1826,Corvid,1,0.269328704,0.269421296,0:00:08,0:00:08,0.133333333
2SD,1,Before Flood,Warm,Closed,8/11/2018,29,1827,Corvid,1,0.422291667,0.422372685,0:00:07,0:00:07,0.116666667
2SD,2,Before Flood,Warm,Open,10/10/2018,0,1828,Corvid,2,0.452291667,0.466759259,0:20:50,0:20:50,20.83333333
2SD,2,Before Flood,Warm,Open,11/10/2018,1,1829,Corvid,2,0.434108796,0.435543981,0:02:04,0:02:04,2.066666667
2SD,2,Before Flood,Warm,Open,11/10/2018,1,1830,Corvid,1,0.443194444,0.445636574,0:03:31,0:03:31,3.516666667
2SD,2,Before Flood,Warm,Open,11/10/2018,1,1831,Corvid,2,0.462719907,0.466111111,0:04:53,0:04:53,4.883333333
2SD,2,Before Flood,Warm,Open,11/10/2018,1,1832,Corvid,2,0.502916667,0.510752315,0:11:17,0:11:17,11.28333333
2SD,2,Before Flood,Warm,Open,11/10/2018,1,1833,Corvid,2,0.521909722,0.523576389,0:02:24,0:02:24,2.4
2SD,2,Before Flood,Warm,Open,11/10/2018,1,1834,Corvid,2,0.609884259,0.609953704,0:00:06,0:00:06,0.1
2SD,2,Before Flood,Warm,Open,12/10/2018,2,1835,Corvid,1,0.271875,0.271921296,0:00:04,0:00:04,0.066666667
2SD,2,Before Flood,Warm,Open,12/10/2018,2,1836,Corvid,1,0.339074074,0.339143519,0:00:06,0:00:06,0.1
2SD,2,Before Flood,Warm,Open,12/10/2018,2,1837,Corvid,2,0.380069444,0.395509259,0:22:14,0:22:14,22.23333333
2SD,2,Before Flood,Warm,Open,12/10/2018,2,1838,Corvid,2,0.405,0.405069444,0:00:06,0:00:06,0.1
2SD,2,Before Flood,Warm,Open,12/10/2018,2,1839,Corvid,2,0.465509259,0.466354167,0:01:13,0:01:13,1.216666667
2SD,2,Before Flood,Warm,Open,12/10/2018,2,1840,Corvid,2,0.484837963,0.487696759,0:04:07,0:04:07,4.116666667
2SD,2,Before Flood,Warm,Open,12/10/2018,2,1841,Corvid,1,0.721273148,0.721342593,0:00:06,0:00:06,0.1
2SD,2,Before Flood,Warm,Open,13/10/2018,3,1842,Corvid,2,0.248842593,0.248923611,0:00:07,0:00:07,0.116666667
2SD,2,Before Flood,Warm,Open,13/10/2018,3,1843,Corvid,2,0.303530093,0.310150463,0:09:32,0:09:32,9.533333333
2SD,2,Before Flood,Warm,Open,13/10/2018,3,1844,Corvid,2,0.324444444,0.325162037,0:01:02,0:01:02,1.033333333
2SD,2,Before Flood,Warm,Open,13/10/2018,3,1845,Corvid,2,0.332407407,0.343402778,0:15:50,0:15:50,15.83333333
2SD,2,Before Flood,Warm,Open,13/10/2018,3,1846,Corvid,2,0.779583333,0.779652778,0:00:06,0:00:06,0.1
2SD,2,Before Flood,Warm,Open,13/10/2018,3,1847,Corvid,1,0.790439815,0.790509259,0:00:06,0:00:06,0.1
2SD,2,Before Flood,Warm,Open,14/10/2018,4,1848,Corvid,2,0.301458333,0.303541667,0:03:00,0:03:00,3
2SD,2,Before Flood,Warm,Open,16/10/2018,6,1849,Corvid,2,0.612986111,0.61318287,0:00:17,0:00:17,0.283333333
2SD,2,Before Flood,Warm,Open,16/10/2018,6,1850,Corvid,2,0.672789352,0.672847222,0:00:05,0:00:05,0.083333333
2SD,2,Before Flood,Warm,Open,16/10/2018,6,1851,Corvid,2,0.680798611,0.680868056,0:00:06,0:00:06,0.1
2SD,2,Before Flood,Warm,Open,17/10/2018,7,1852,Corvid,2,0.394722222,0.398773148,0:05:50,0:05:50,5.833333333
2SD,2,Before Flood,Warm,Open,17/10/2018,7,1853,Corvid,2,0.7421875,0.742349537,0:00:14,0:00:14,0.233333333
2SD,2,Before Flood,Warm,Open,18/10/2018,8,1854,Corvid,2,0.695868056,0.6959375,0:00:06,0:00:06,0.1
2SD,2,Before Flood,Warm,Open,21/10/2018,11,1855,Corvid,2,0.772256944,0.772326389,0:00:06,0:00:06,0.1
2SD,2,Before Flood,Warm,Open,21/10/2018,11,1856,Corvid,2,0.799108796,0.799166667,0:00:05,0:00:05,0.083333333
2SD,2,Before Flood,Warm,Open,24/10/2018,14,1857,Corvid,2,0.773032407,0.773101852,0:00:06,0:00:06,0.1
2SD,3,Before Flood,Warm,Open,11/10/2018,1,1858,Corvid,2,0.475520833,0.478333333,0:04:03,0:04:03,4.05
2SD,3,Before Flood,Warm,Open,11/10/2018,1,1859,Corvid,1,0.566365741,0.566435185,0:00:06,0:00:06,0.1
2SD,3,Before Flood,Warm,Open,12/10/2018,2,1860,Corvid,2,0.366643519,0.37193287,0:07:37,0:07:37,7.616666667
2SD,3,Before Flood,Warm,Open,12/10/2018,2,1861,LittleCrow,2,0.381840278,0.384918981,0:04:26,0:04:26,4.433333333
2SD,3,Before Flood,Warm,Open,12/10/2018,2,1862,Corvid,1,0.416979167,0.417025463,0:00:04,0:00:04,0.066666667
2SD,3,Before Flood,Warm,Open,12/10/2018,2,1863,LittleCrow,3,0.457407407,0.472592593,0:21:52,0:21:52,21.86666667
2SD,3,Before Flood,Warm,Open,12/10/2018,2,1864,LittleCrow,6,0.5096875,0.51375,0:05:51,0:05:51,5.85
2SD,3,Before Flood,Warm,Open,12/10/2018,2,1865,Corvid,2,0.652013889,0.654965278,0:04:15,0:04:15,4.25
2SD,3,Before Flood,Warm,Open,12/10/2018,2,1866,Corvid,2,0.697384259,0.697453704,0:00:06,0:00:06,0.1
2SD,3,Before Flood,Warm,Open,12/10/2018,2,1867,Corvid,1,0.733553241,0.735509259,0:02:49,0:02:49,2.816666667
2SD,3,Before Flood,Warm,Open,12/10/2018,2,1868,Corvid,4,0.785925926,0.78599537,0:00:06,0:00:06,0.1
2SD,3,Before Flood,Warm,Open,12/10/2018,2,1869,Corvid,5,0.801736111,0.801828704,0:00:08,0:00:08,0.133333333
2SD,3,Before Flood,Warm,Open,13/10/2018,3,1870,LittleCrow,3,0.338078704,0.34931713,0:16:11,0:16:11,16.18333333
2SD,3,Before Flood,Warm,Open,13/10/2018,3,1871,Corvid,4,0.395856481,0.396840278,0:01:25,0:01:25,1.416666667
2SD,3,Before Flood,Warm,Open,13/10/2018,3,1872,LittleCrow,7,0.421412037,0.425138889,0:05:22,0:05:22,5.366666667
2SD,3,Before Flood,Warm,Open,14/10/2018,4,1873,Corvid,1,0.369895833,0.369965278,0:00:06,0:00:06,0.1
2SD,3,Before Flood,Warm,Open,15/10/2018,5,1874,Corvid,1,0.39056713,0.390625,0:00:05,0:00:05,0.083333333
2SD,3,Before Flood,Warm,Open,16/10/2018,6,1875,Corvid,2,0.443726852,0.444409722,0:00:59,0:00:59,0.983333333
2SD,3,Before Flood,Warm,Open,16/10/2018,6,1876,Corvid,1,0.452071759,0.452071759,0:00:00,0:00:00,0
2SD,3,Before Flood,Warm,Open,17/10/2018,7,1877,Corvid,3,0.489166667,0.490798611,0:02:21,0:02:21,2.35
2SD,3,Before Flood,Warm,Open,17/10/2018,7,1878,Corvid,1,0.523935185,0.52400463,0:00:06,0:00:06,0.1
2SD,3,Before Flood,Warm,Open,17/10/2018,7,1879,Corvid,1,0.717592593,0.717662037,0:00:06,0:00:06,0.1
2SD,3,Before Flood,Warm,Open,17/10/2018,7,1880,Corvid,2,0.735763889,0.742766204,0:10:05,0:10:05,10.08333333
2SD,3,Before Flood,Warm,Open,17/10/2018,7,1881,Corvid,2,0.759675926,0.759722222,0:00:04,0:00:04,0.066666667
2SD,3,Before Flood,Warm,Open,18/10/2018,8,1882,Corvid,1,0.374328704,0.378310185,0:05:44,0:05:44,5.733333333
2SD,3,Before Flood,Warm,Open,18/10/2018,8,1883,Corvid,2,0.392511574,0.398530093,0:08:40,0:08:40,8.666666667
2SD,3,Before Flood,Warm,Open,18/10/2018,8,1884,LittleCrow,3,0.450127315,0.454641204,0:06:30,0:06:30,6.5
2SD,3,Before Flood,Warm,Open,19/10/2018,9,1885,Corvid,3,0.2540625,0.254131944,0:00:06,0:00:06,0.1
