Carcass Drop,Site,Flood,Season,Habitat,max_group_size
1SD,1,Before Flood,Cool,Open,10
1SD,2,Before Flood,Cool,Open,14
1SD,3,Before Flood,Cool,Open,21
1SD,4,Before Flood,Cool,Open,12
1SD,5,Before Flood,Cool,Open,20
1SD,6,Before Flood,Cool,Closed,19
1SD,7,Before Flood,Cool,Closed,11
1SD,8,Before Flood,Cool,Open,14
1SD,9,Before Flood,Cool,Closed,14
1SD,10,Before Flood,Cool,Open,17
1SD,11,Before Flood,Cool,Closed,12
1SD,12,Before Flood,Cool,Open,22
1SD,13,Before Flood,Cool,Closed,10
1SD,14,Before Flood,Cool,Open,13
1SD,15,Before Flood,Cool,Closed,12
1SD,16,Before Flood,Cool,Closed,8
1SD,17,Before Flood,Cool,Open,17
1SD,18,Before Flood,Cool,Closed,18
1SD,19,Before Flood,Cool,Closed,4
1SD,20,Before Flood,Cool,Closed,5
2SD,1,Before Flood,Warm,Closed,3
2SD,2,Before Flood,Warm,Open,2
2SD,3,Before Flood,Warm,Open,7
2SD,4,Before Flood,Warm,Closed,5
2SD,5,Before Flood,Warm,Open,7
2SD,6,Before Flood,Warm,Closed,5
2SD,7,Before Flood,Warm,Open,4
2SD,8,Before Flood,Warm,Closed,10
2SD,9,Before Flood,Warm,Open,7
2SD,10,Before Flood,Warm,Closed,10
2SD,12,Before Flood,Warm,Open,7
2SD,13,Before Flood,Warm,Closed,6
2SD,14,Before Flood,Warm,Open,13
2SD,15,Before Flood,Warm,Closed,4
2SD,16,Before Flood,Warm,Open,11
2SD,17,Before Flood,Warm,Closed,1
2SD,18,Before Flood,Warm,Open,7
2SD,19,Before Flood,Warm,Open,7
2SD,20,Before Flood,Warm,Closed,5
3SD,1,After Flood,Cool,Closed,6
3SD,2,After Flood,Cool,Open,11
3SD,3,After Flood,Cool,Closed,10
3SD,4,After Flood,Cool,Open,13
3SD,5,After Flood,Cool,Closed,3
3SD,6,After Flood,Cool,Open,16
3SD,7,After Flood,Cool,Closed,9
3SD,8,After Flood,Cool,Open,10
3SD,9,After Flood,Cool,Closed,4
3SD,10,After Flood,Cool,Closed,9
3SD,11,After Flood,Cool,Open,10
3SD,12,After Flood,Cool,Closed,3
3SD,13,After Flood,Cool,Open,9
3SD,14,After Flood,Cool,Closed,10
3SD,15,After Flood,Cool,Closed,13
3SD,16,After Flood,Cool,Open,16
3SD,17,After Flood,Cool,Closed,8
3SD,18,After Flood,Cool,Open,9
3SD,19,After Flood,Cool,Open,14
3SD,20,After Flood,Cool,Open,4
4SD,1,After Flood,Warm,Open,9
4SD,2,After Flood,Warm,Closed,8
4SD,3,After Flood,Warm,Closed,10
4SD,4,After Flood,Warm,Open,13
4SD,5,After Flood,Warm,Closed,3
4SD,6,After Flood,Warm,Closed,11
4SD,7,After Flood,Warm,Open,11
4SD,8,After Flood,Warm,Open,4
4SD,9,After Flood,Warm,Closed,6
4SD,10,After Flood,Warm,Closed,11
4SD,11,After Flood,Warm,Closed,4
4SD,12,After Flood,Warm,Open,17
4SD,13,After Flood,Warm,Closed,13
4SD,14,After Flood,Warm,Open,12
4SD,15,After Flood,Warm,Open,13
4SD,16,After Flood,Warm,Closed,14
4SD,17,After Flood,Warm,Open,6
4SD,18,After Flood,Warm,Closed,8
4SD,19,After Flood,Warm,Open,8
4SD,20,After Flood,Warm,Open,6
