DateofReading,MaxTemp,MinTemp,AveTemp,Rainfall
20/06/2018,20.63,-2.27,8.54,0
21/06/2018,21.93,-2.1,10.62,0
22/06/2018,20.33,3.17,11.58,0
23/06/2018,23.87,5,13.99,0
24/06/2018,24.77,10.03,16.35,0
25/06/2018,25.83,11.93,18.22,0
26/06/2018,24.2,10.4,16.08,1.6
27/06/2018,20.27,6.27,13.2,0.2
28/06/2018,19.8,5.43,12.08,0
29/06/2018,22.97,9.53,15.04,0
30/06/2018,24.47,11.37,17.35,0
1/07/2018,22.7,8.27,15.61,0.2
2/07/2018,23.9,4.53,14.5,0
3/07/2018,23.53,1.87,13.08,0
4/07/2018,26.4,3.8,14.46,0
5/07/2018,28.43,4.27,15.07,0
6/07/2018,30,6.93,17.71,0
7/07/2018,23.6,7.1,15.6,0
8/07/2018,20.8,5.17,13.15,0
9/07/2018,20.2,-1,10.83,0
10/07/2018,21,-1.2,10.63,0
11/07/2018,21.57,-1.53,10.82,0
12/07/2018,21.43,-2.57,9.25,0
13/07/2018,20.87,-5.2,7.45,0
14/07/2018,20.57,-3.9,7.17,0
15/07/2018,21.17,-3.83,7.65,0
16/07/2018,22.9,0.8,10.2,0
17/07/2018,27.97,0.43,14.12,0
18/07/2018,28.47,0.77,14.31,0
19/07/2018,27.77,1.97,13.91,0
20/07/2018,29.87,7.23,18.98,0
21/07/2018,20.27,-2.9,8.36,0
22/07/2018,20.47,-1.73,8.32,0
23/07/2018,24.27,1.2,11.26,0
24/07/2018,30.13,6.47,18.07,0
25/07/2018,30.83,11.37,20.8,0
26/07/2018,29.03,5.1,17.46,0
27/07/2018,31.73,13.33,21.57,0
28/07/2018,31.5,9.73,20.59,0
29/07/2018,26.23,10,17.91,0
30/07/2018,24.53,1.6,14.28,0
31/07/2018,23.23,-0.3,11.24,0
1/08/2018,25.53,1.87,13.3,0
2/08/2018,27.7,4,16.73,0
3/08/2018,30.1,11.53,21.05,0.2
4/08/2018,20.67,-0.57,10.15,0
5/08/2018,24.5,9.23,16.49,0
6/08/2018,32.3,8.4,21.99,0
7/08/2018,20.27,-0.3,10.09,0
8/08/2018,21.73,0,10.66,0
9/08/2018,23.6,0.03,11.86,0
10/08/2018,24.73,2.6,12.94,0
11/08/2018,29.67,6.93,17.6,0
12/08/2018,21.67,3.9,14.05,0
13/08/2018,20.67,-0.67,11.23,0
14/08/2018,21.5,-0.97,10.59,0
15/08/2018,24.63,0.9,11.95,0
16/08/2018,29.2,3,14.75,0
17/08/2018,30.1,3.77,15.84,0
18/08/2018,29.37,4.87,16.15,0
19/08/2018,30.7,9.73,20.66,0
20/08/2018,21.97,-1.3,12.89,0
21/08/2018,22.17,-2.3,11.11,0
22/08/2018,24.3,-1.3,11.1,0
23/08/2018,28.03,6.97,17.03,0
24/08/2018,28.27,4.1,16.93,0
25/08/2018,24.67,6.07,15.36,0
26/08/2018,24.4,2.43,13.82,0
27/08/2018,26.93,1.33,14.25,0
28/08/2018,27.03,1.53,14.29,0
29/08/2018,28,5.17,16.23,0
30/08/2018,31.13,5.07,19.41,0
31/08/2018,35.6,19.77,27.18,0
1/09/2018,26.7,4.8,16.12,0
2/09/2018,28.67,11.17,20.2,0
3/09/2018,28.8,7.13,19.7,0
4/09/2018,27.23,5,18.72,0
5/09/2018,25.4,1.3,13.97,0
6/09/2018,28.67,15.33,21.42,0
7/09/2018,34.8,13.97,24.52,0
8/09/2018,27.23,7.33,19.07,0
9/09/2018,27.77,3,17.54,0
10/09/2018,27.23,1.6,15.61,0
11/09/2018,30,4.1,16.72,0
12/09/2018,33.53,5.87,20.19,0
13/09/2018,31,9.5,21.04,0
14/09/2018,31.87,8.37,19.85,0
15/09/2018,36.33,16.03,25.27,0
16/09/2018,33.23,10.53,20.28,0
17/09/2018,23.1,0.27,12.57,0
18/09/2018,27.03,4.83,15.8,0
19/09/2018,34.77,16.53,24.91,0
20/09/2018,26.07,10.43,17.8,0
21/09/2018,27.53,10.8,19.23,0
22/09/2018,28.57,13.6,21.94,0
23/09/2018,31.87,8.3,21.23,0
24/09/2018,33.57,12,23.7,0
25/09/2018,33.87,13.83,24.83,0
26/09/2018,32.53,7.77,22.37,0
27/09/2018,33.53,7.1,21.24,0
28/09/2018,35.33,7.6,21.69,0
29/09/2018,37.03,14.83,26.14,0
30/09/2018,35.4,16.53,26.53,0
1/10/2018,36.43,16.17,27.32,0
2/10/2018,38.43,14.67,26.66,0
3/10/2018,39.6,19.87,30.57,0
4/10/2018,38.4,17.13,27.84,0
5/10/2018,29.77,13.9,22.53,0
6/10/2018,30.37,12.47,21.89,0
7/10/2018,33.7,13.2,24.08,0
8/10/2018,37.57,17.07,28.65,0
9/10/2018,38.2,19.23,29.26,0
10/10/2018,40.17,23.2,31.72,0
11/10/2018,34.4,15.07,26.44,0
12/10/2018,30.7,14.47,24.33,0
13/10/2018,33.57,15.6,26.04,0
14/10/2018,37,18.73,29.1,0
15/10/2018,42.2,27.13,34.19,0
16/10/2018,41.17,22.27,31.24,1.6
17/10/2018,33.23,13.7,25.31,0
18/10/2018,32.4,9.47,22.8,0
19/10/2018,35.83,11.03,24.09,0
20/10/2018,40.6,23.43,31.58,0
21/10/2018,32.43,11.77,23.44,0
22/10/2018,33.6,9.2,21.81,0
23/10/2018,37.9,11.07,25.08,0
24/10/2018,41.1,12.47,28.53,0
25/10/2018,44,17.9,31.74,0
26/10/2018,44.3,23.63,35.24,0
27/10/2018,45.3,24.97,36.68,0
28/10/2018,44.83,23.2,33.81,0
29/10/2018,40.07,19.07,30.33,0
30/10/2018,38.53,21.83,31.41,0
31/10/2018,41.13,23.4,33.01,0
1/11/2018,42.27,21.87,33.83,0
2/11/2018,44.2,28.3,36.25,0
3/11/2018,43.87,29.3,36.61,0
4/11/2018,44.37,25.63,36.37,0
5/11/2018,44.23,27.03,36.68,0
6/11/2018,43.23,27.77,34.2,0
7/11/2018,41.43,23.57,32.71,0
8/11/2018,26.03,13.37,17.48,5.6
