Carcas Drop,Temp,Season
1SD,8.54,Cool
1SD,10.62,Cool
1SD,11.58,Cool
1SD,13.99,Cool
1SD,16.35,Cool
1SD,18.22,Cool
1SD,16.08,Cool
1SD,13.2,Cool
1SD,12.08,Cool
1SD,15.04,Cool
1SD,17.35,Cool
1SD,15.61,Cool
1SD,14.5,Cool
1SD,13.08,Cool
1SD,14.46,Cool
1SD,15.07,Cool
1SD,17.71,Cool
1SD,15.6,Cool
1SD,13.15,Cool
1SD,10.83,Cool
1SD,10.63,Cool
1SD,10.82,Cool
1SD,9.25,Cool
1SD,7.45,Cool
1SD,7.17,Cool
1SD,7.65,Cool
1SD,10.2,Cool
1SD,14.12,Cool
1SD,14.31,Cool
1SD,13.91,Cool
1SD,18.98,Cool
1SD,8.36,Cool
2SD,31.72,Warm
2SD,26.44,Warm
2SD,24.33,Warm
2SD,26.04,Warm
2SD,29.1,Warm
2SD,34.19,Warm
2SD,31.24,Warm
2SD,25.31,Warm
2SD,22.8,Warm
2SD,24.09,Warm
2SD,31.58,Warm
2SD,23.44,Warm
2SD,21.81,Warm
2SD,25.08,Warm
2SD,28.53,Warm
2SD,31.74,Warm
2SD,35.24,Warm
2SD,36.68,Warm
2SD,33.81,Warm
2SD,30.33,Warm
2SD,31.41,Warm
2SD,33.01,Warm
2SD,33.83,Warm
2SD,36.25,Warm
2SD,36.61,Warm
2SD,36.37,Warm
2SD,36.68,Warm
2SD,34.2,Warm
2SD,32.71,Warm
2SD,17.48,Warm
2SD,20.27,Warm
3SD,23.84,Cool
3SD,20.15,Cool
3SD,18.28,Cool
3SD,17.03,Cool
3SD,12.33,Cool
3SD,11.34,Cool
3SD,12.46,Cool
3SD,12.28,Cool
3SD,9.92,Cool
3SD,8.19,Cool
3SD,8.28,Cool
3SD,8.87,Cool
3SD,8.3,Cool
3SD,10.94,Cool
3SD,11.57,Cool
3SD,14.55,Cool
3SD,16.8,Cool
3SD,15.99,Cool
3SD,10.08,Cool
3SD,10.88,Cool
3SD,11.56,Cool
3SD,11.95,Cool
3SD,14.77,Cool
3SD,15.05,Cool
3SD,18.63,Cool
3SD,17.92,Cool
3SD,16.82,Cool
3SD,13.74,Cool
3SD,13.72,Cool
3SD,13.87,Cool
3SD,13.08,Cool
4SD,21.43,Warm
4SD,17.01,Warm
4SD,16.66,Warm
4SD,22.57,Warm
4SD,22.22,Warm
4SD,21.62,Warm
4SD,24.51,Warm
4SD,26.1,Warm
4SD,26.51,Warm
4SD,23.49,Warm
4SD,25.26,Warm
4SD,26.94,Warm
4SD,25.89,Warm
4SD,25.79,Warm
4SD,29.9,Warm
4SD,24,Warm
4SD,19.27,Warm
4SD,20.56,Warm
4SD,21.8,Warm
4SD,29.16,Warm
4SD,33.26,Warm
4SD,32.93,Warm
4SD,35.87,Warm
4SD,32.98,Warm
4SD,25.29,Warm
4SD,24.64,Warm
4SD,27.18,Warm
4SD,24.98,Warm
4SD,21.76,Warm
4SD,28.06,Warm
4SD,30.64,Warm
