"","ï..Carcass.Drop","Flood","Season","Habitat","Date","Total","MaxTemp","MinTemp","AveTemp","Rainfall"
"1","1SD","Before Flood","Cool","Closed","21/06/2018",551.5333333,21.93,-2.1,10.62,0
"2","1SD","Before Flood","Cool","Closed","22/06/2018",943.2166667,20.33,3.17,11.58,0
"3","1SD","Before Flood","Cool","Closed","23/06/2018",918.4166667,23.87,5,13.99,0
"4","1SD","Before Flood","Cool","Closed","24/06/2018",931.5666667,24.77,10.03,16.35,0
"5","1SD","Before Flood","Cool","Closed","25/06/2018",823.85,25.83,11.93,18.22,0
"6","1SD","Before Flood","Cool","Closed","26/06/2018",965.3833333,24.2,10.4,16.08,1.6
"7","1SD","Before Flood","Cool","Closed","27/06/2018",947.2166667,20.27,6.27,13.2,0.2
"8","1SD","Before Flood","Cool","Closed","28/06/2018",843.0166667,19.8,5.43,12.08,0
"9","1SD","Before Flood","Cool","Closed","29/06/2018",335.5833333,22.97,9.53,15.04,0
"10","1SD","Before Flood","Cool","Closed","30/06/2018",416.4333333,24.47,11.37,17.35,0
"11","1SD","Before Flood","Cool","Closed","1/07/2018",275.3333333,22.7,8.27,15.61,0.2
"12","1SD","Before Flood","Cool","Closed","2/07/2018",474.0166667,23.9,4.53,14.5,0
"13","1SD","Before Flood","Cool","Closed","3/07/2018",812.7,23.53,1.87,13.08,0
"14","1SD","Before Flood","Cool","Closed","4/07/2018",456.25,26.4,3.8,14.46,0
"15","1SD","Before Flood","Cool","Closed","5/07/2018",305.85,28.43,4.27,15.07,0
"16","1SD","Before Flood","Cool","Closed","6/07/2018",263.5666667,30,6.93,17.71,0
"17","1SD","Before Flood","Cool","Closed","7/07/2018",120.35,23.6,7.1,15.6,0
"18","1SD","Before Flood","Cool","Closed","8/07/2018",239.9,20.8,5.17,13.15,0
"19","1SD","Before Flood","Cool","Closed","9/07/2018",149.9833333,20.2,-1,10.83,0
"20","1SD","Before Flood","Cool","Closed","10/07/2018",88.08333333,21,-1.2,10.63,0
"21","1SD","Before Flood","Cool","Closed","11/07/2018",100.5166667,21.57,-1.53,10.82,0
"22","1SD","Before Flood","Cool","Closed","12/07/2018",82.88333333,21.43,-2.57,9.25,0
"23","1SD","Before Flood","Cool","Closed","13/07/2018",155.3666667,20.87,-5.2,7.45,0
"24","1SD","Before Flood","Cool","Closed","14/07/2018",99.91666667,20.57,-3.9,7.17,0
"25","1SD","Before Flood","Cool","Closed","15/07/2018",59.38333333,21.17,-3.83,7.65,0
"26","1SD","Before Flood","Cool","Closed","16/07/2018",124.5833333,22.9,0.8,10.2,0
"27","1SD","Before Flood","Cool","Closed","17/07/2018",124.6666667,27.97,0.43,14.12,0
"28","1SD","Before Flood","Cool","Closed","18/07/2018",94.03333333,28.47,0.77,14.31,0
"29","1SD","Before Flood","Cool","Closed","19/07/2018",90.4,27.77,1.97,13.91,0
"30","1SD","Before Flood","Cool","Closed","20/07/2018",85.9,29.87,7.23,18.98,0
"31","1SD","Before Flood","Cool","Closed","21/07/2018",8.95,20.27,-2.9,8.36,0
"32","1SD","Before Flood","Cool","Open","20/06/2018",24.63333333,20.63,-2.27,8.54,0
"33","1SD","Before Flood","Cool","Open","21/06/2018",667.6333333,21.93,-2.1,10.62,0
"34","1SD","Before Flood","Cool","Open","22/06/2018",931.35,20.33,3.17,11.58,0
"35","1SD","Before Flood","Cool","Open","23/06/2018",604.65,23.87,5,13.99,0
"36","1SD","Before Flood","Cool","Open","24/06/2018",839.6666667,24.77,10.03,16.35,0
"37","1SD","Before Flood","Cool","Open","25/06/2018",849,25.83,11.93,18.22,0
"38","1SD","Before Flood","Cool","Open","26/06/2018",859.95,24.2,10.4,16.08,1.6
"39","1SD","Before Flood","Cool","Open","27/06/2018",859.2666667,20.27,6.27,13.2,0.2
"40","1SD","Before Flood","Cool","Open","28/06/2018",1256.3,19.8,5.43,12.08,0
"41","1SD","Before Flood","Cool","Open","29/06/2018",996.9833333,22.97,9.53,15.04,0
"42","1SD","Before Flood","Cool","Open","30/06/2018",665.55,24.47,11.37,17.35,0
"43","1SD","Before Flood","Cool","Open","1/07/2018",731.9333333,22.7,8.27,15.61,0.2
"44","1SD","Before Flood","Cool","Open","2/07/2018",588.9,23.9,4.53,14.5,0
"45","1SD","Before Flood","Cool","Open","3/07/2018",390.15,23.53,1.87,13.08,0
"46","1SD","Before Flood","Cool","Open","4/07/2018",461.2166667,26.4,3.8,14.46,0
"47","1SD","Before Flood","Cool","Open","5/07/2018",258.6166667,28.43,4.27,15.07,0
"48","1SD","Before Flood","Cool","Open","6/07/2018",112.45,30,6.93,17.71,0
"49","1SD","Before Flood","Cool","Open","7/07/2018",312.0166667,23.6,7.1,15.6,0
"50","1SD","Before Flood","Cool","Open","8/07/2018",328.4666667,20.8,5.17,13.15,0
"51","1SD","Before Flood","Cool","Open","9/07/2018",179.5166667,20.2,-1,10.83,0
"52","1SD","Before Flood","Cool","Open","10/07/2018",168.5833333,21,-1.2,10.63,0
"53","1SD","Before Flood","Cool","Open","11/07/2018",105.8666667,21.57,-1.53,10.82,0
"54","1SD","Before Flood","Cool","Open","12/07/2018",240.7833333,21.43,-2.57,9.25,0
"55","1SD","Before Flood","Cool","Open","13/07/2018",366.8666667,20.87,-5.2,7.45,0
"56","1SD","Before Flood","Cool","Open","14/07/2018",425.5333333,20.57,-3.9,7.17,0
"57","1SD","Before Flood","Cool","Open","15/07/2018",294.25,21.17,-3.83,7.65,0
"58","1SD","Before Flood","Cool","Open","16/07/2018",238.3,22.9,0.8,10.2,0
"59","1SD","Before Flood","Cool","Open","17/07/2018",110.9,27.97,0.43,14.12,0
"60","1SD","Before Flood","Cool","Open","18/07/2018",191.6666667,28.47,0.77,14.31,0
"61","1SD","Before Flood","Cool","Open","19/07/2018",81.91666667,27.77,1.97,13.91,0
