Carcass Drop,Habitat,Flood,Season,Site,site_R,Date,Days since laid,Event,Number Scavenging,Number in Frame,Max Group Size Till Scavenging,Time_till_scav_value_mins
3SD,CL,AF,Cool,1,3SD1,13/06/2019,0,536, S.1, R.3,3,2.766666667
3SD,CL,AF,Cool,1,3SD1,14/06/2019,1,537, S.1, R.1,1,0.083333333
3SD,CL,AF,Cool,1,3SD1,14/06/2019,1,538, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,1,3SD1,19/06/2019,6,539, S.1,R.2,2,0.066666667
3SD,CL,AF,Cool,1,3SD1,19/06/2019,6,540, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,1,3SD1,19/06/2019,6,541, S.1, R.1,1,0.016666667
3SD,CL,AF,Cool,1,3SD1,19/06/2019,6,542, S.1, R.1,2,0.083333333
3SD,CL,AF,Cool,1,3SD1,19/06/2019,6,543, S.1, R.1,1,0
3SD,CL,AF,Cool,1,3SD1,19/06/2019,6,544, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,1,3SD1,19/06/2019,6,545, S.0, R.1,1,0.033333333
3SD,CL,AF,Cool,1,3SD1,20/06/2019,7,546, S.1, R.2,2,0
3SD,CL,AF,Cool,1,3SD1,20/06/2019,7,547, S.2, R.2,2,3.083333333
3SD,CL,AF,Cool,1,3SD1,20/06/2019,7,548, S.1, R.2,2,2.35
3SD,CL,AF,Cool,1,3SD1,20/06/2019,7,549, S.1, R.1,1,0
3SD,CL,AF,Cool,1,3SD1,20/06/2019,7,550, S.1, R.2,2,0
3SD,CL,AF,Cool,1,3SD1,21/06/2019,8,551, S.1, R.1,1,0.116666667
3SD,CL,AF,Cool,1,3SD1,22/06/2019,9,552, S.0, R.1,1,0
3SD,CL,AF,Cool,1,3SD1,22/06/2019,9,553, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,1,3SD1,22/06/2019,9,554, S.1, R.2,2,0
3SD,CL,AF,Cool,1,3SD1,24/06/2019,11,555, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,1,3SD1,24/06/2019,11,556, S.1, R.1,1,0.066666667
3SD,CL,AF,Cool,1,3SD1,24/06/2019,11,557, S.1, R.1,1,0.066666667
3SD,CL,AF,Cool,1,3SD1,26/06/2019,13,558, S.1, R.2,2,0.766666667
3SD,CL,AF,Cool,1,3SD1,26/06/2019,13,559, S.1, R.2,2,0
3SD,CL,AF,Cool,1,3SD1,26/06/2019,13,560, S.1, R.1,1,0.016666667
3SD,CL,AF,Cool,1,3SD1,27/06/2019,14,561, S.2, R.2,2,0.016666667
3SD,CL,AF,Cool,1,3SD1,27/06/2019,14,562, S.1, R.2,2,0.016666667
3SD,CL,AF,Cool,1,3SD1,27/06/2019,14,563, S.2, R.2,2,0
3SD,CL,AF,Cool,1,3SD1,27/06/2019,14,564, S.0, R.1,2,0.116666667
3SD,CL,AF,Cool,1,3SD1,27/06/2019,14,565, S.1, R.1,1,0.783333333
3SD,CL,AF,Cool,1,3SD1,27/06/2019,14,566, S.1, R.1,1,0.016666667
3SD,CL,AF,Cool,1,3SD1,27/06/2019,14,567, S.1, R.2,2,0
