Carcass Drop,Habitat,Site,Date,Event_values,Species,Group_Size,Prop_vig,dingo_min1,eagle_min1,fox_min1,time_since_pred,time_pred1
3SD,Open,2,14/06/2019,1,Corvid,3,0.666666667,437.8666667,NA,NA,437.8666667,437.8666667
3SD,Open,2,14/06/2019,2,Corvid,2,0.5,520.4666667,NA,NA,520.4666667,520.4666667
3SD,Open,2,14/06/2019,3,Corvid,6,0.738333333,603.35,NA,NA,603.35,603.35
3SD,Open,2,15/06/2019,7,Corvid,7,0.958333333,0,1.916666664,NA,0,0
3SD,Open,2,15/06/2019,8,Corvid,3,0.5,200.9333333,0,NA,0,0
3SD,Open,2,15/06/2019,12,Corvid,6,0.541666667,417.2,0,NA,0,0
3SD,Open,2,15/06/2019,13,Corvid,2,0.55,12.5,127.4666667,NA,12.5,12.5
3SD,Open,2,16/06/2019,14,Corvid,5,1,0,945.9666667,NA,0,0
3SD,Open,2,16/06/2019,15,Corvid,4,0.775,0,972.1166667,NA,0,0
3SD,Open,2,16/06/2019,18,Corvid,7,0.656666667,50.05000001,1036.633333,NA,50.05000001,50.05000001
3SD,Open,2,16/06/2019,19,Corvid,11,0.596666667,197.7666667,1184.35,NA,197.7666667,197.7666667
3SD,Open,2,16/06/2019,21,Corvid,7,0.418333333,342.6333333,1329.216667,NA,342.6333333,342.6333333
3SD,Open,2,16/06/2019,23,Corvid,7,0.47,11.51666667,1412.233333,NA,11.51666667,11.51666667
3SD,Open,2,16/06/2019,24,Corvid,2,0.65,46.08333332,NA,NA,46.08333332,46.08333332
3SD,Open,2,16/06/2019,26,Corvid,5,0.62,84.03333333,NA,NA,84.03333333,84.03333333
3SD,Open,2,16/06/2019,27,Corvid,1,1,0,NA,NA,0,0
3SD,Open,2,16/06/2019,28,Corvid,6,0.95,0,NA,NA,0,0
3SD,Open,2,17/06/2019,30,Corvid,2,0.65,874.0666667,NA,NA,874.0666667,874.0666667
3SD,Open,2,17/06/2019,31,Corvid,6,0.396666667,914.1666667,NA,NA,914.1666667,914.1666667
3SD,Open,2,17/06/2019,34,Corvid,8,0.289285714,1057,NA,NA,1057,1057
3SD,Open,2,18/06/2019,40,Corvid,4,0.575,699.5333333,NA,NA,699.5333333,699.5333333
3SD,Open,2,18/06/2019,42,Corvid,2,0.7,1032.433333,NA,NA,1032.433333,1032.433333
3SD,Open,2,22/06/2019,51,Corvid,2,0.55,NA,NA,NA,2504.416667,NA
3SD,Open,2,23/06/2019,55,LittleCrow,2,0.35,NA,NA,NA,4107.933333,NA
3SD,Open,2,25/06/2019,58,Corvid,2,0.3,NA,NA,1280.716667,1280.716667,1280.716667
3SD,Open,2,26/06/2019,60,Corvid,2,0.55,NA,NA,NA,8185.766667,NA
3SD,Open,2,26/06/2019,63,Corvid,2,0.45,NA,NA,NA,8425.05,NA
3SD,Open,2,27/06/2019,66,Corvid,2,0.3,NA,NA,425.2,425.2,425.2
3SD,Open,2,27/06/2019,67,Corvid,2,0.35,NA,NA,678.9333333,678.9333333,678.9333333
3SD,Open,2,28/06/2019,70,Corvid,2,0.5,NA,NA,NA,11246.36667,NA
3SD,Open,2,29/06/2019,78,Corvid,1,0.4,NA,NA,NA,12647.93333,NA
3SD,Open,2,29/06/2019,81,Corvid,2,0.3,NA,NA,NA,12723.61667,NA
3SD,Open,2,30/06/2019,89,Corvid,2,0.1,NA,NA,NA,14003.83333,NA
3SD,Open,2,30/06/2019,92,Corvid,2,0.25,NA,NA,NA,14231.45,NA
3SD,Open,2,1/07/2019,96,LittleCrow,2,0.3,225.8666667,NA,NA,225.8666667,225.8666667
3SD,Open,2,1/07/2019,97,Corvid,2,0.25,346.1166667,NA,NA,346.1166667,346.1166667
3SD,Open,2,1/07/2019,98,Corvid,2,0.25,437.55,NA,NA,437.55,437.55
3SD,Open,2,2/07/2019,100,Corvid,2,0.15,NA,NA,NA,1915.233333,NA
3SD,Open,2,3/07/2019,102,Corvid,2,0.45,NA,NA,NA,3097.483333,NA
3SD,Open,2,6/07/2019,103,Corvid,2,0.4,NA,NA,NA,7283.433333,NA
3SD,Open,2,7/07/2019,105,Corvid,1,0.7,NA,NA,NA,8784.566667,NA
3SD,Open,2,8/07/2019,106,Corvid,2,0.8,NA,NA,NA,10097.98333,NA
3SD,Open,2,8/07/2019,107,Corvid,2,0.3,NA,NA,NA,10286.03333,NA
3SD,Closed,3,14/06/2019,125,Corvid,1,0.5,328,NA,NA,328,328
3SD,Closed,3,16/06/2019,130,Corvid,1,0.2,800.9166667,NA,NA,800.9166667,800.9166667
3SD,Closed,3,19/06/2019,133,Corvid,3,0.5,NA,NA,NA,5114.966667,NA
3SD,Closed,3,20/06/2019,140,Corvid,3,0.8,NA,NA,NA,6489.65,NA
3SD,Closed,3,24/06/2019,154,Corvid,6,0.566666667,798.5333333,NA,NA,798.5333333,798.5333333
3SD,Closed,3,25/06/2019,162,Corvid,10,0.327380952,NA,NA,NA,2279.333333,NA
3SD,Closed,3,25/06/2019,164,Corvid,6,0.3,NA,NA,NA,2521.416667,NA
3SD,Closed,3,28/06/2019,181,Corvid,2,0.7,NA,NA,NA,6923.666667,NA
3SD,Closed,3,2/07/2019,188,Corvid,2,0.35,NA,NA,NA,12468.25,NA
3SD,Open,4,13/06/2019,191,LittleCrow,7,0.941666667,NA,0,NA,0,0
3SD,Open,4,13/06/2019,192,Corvid,6,0.666666667,NA,22.78333333,NA,22.78333333,22.78333333
3SD,Open,4,14/06/2019,194,Corvid,1,0.7,NA,0,NA,0,0
3SD,Open,4,14/06/2019,197,Corvid,2,0.8,NA,15.41666667,NA,15.41666667,15.41666667
3SD,Open,4,14/06/2019,199,Corvid,4,0.633333333,0,0,NA,0,0
3SD,Open,4,14/06/2019,200,Corvid,3,0.583333333,74.78333334,115.0666667,NA,74.78333334,74.78333334
3SD,Open,4,14/06/2019,201,Corvid,3,0.6,154.0333333,194.3166667,NA,154.0333333,154.0333333
3SD,Open,4,14/06/2019,202,Corvid,5,0.691666667,215.2166667,255.5,NA,215.2166667,215.2166667
3SD,Open,4,14/06/2019,204,Corvid,4,0.575,308.1,348.3833333,NA,308.1,308.1
3SD,Open,4,15/06/2019,206,Corvid,2,0.55,439.7166667,1267.616667,NA,439.7166667,439.7166667
3SD,Open,4,15/06/2019,208,Corvid,1,0.7,556.75,1384.65,NA,556.75,556.75
3SD,Open,4,15/06/2019,210,Corvid,3,0.666666667,606.1333333,1434.033333,NA,606.1333333,606.1333333
